SampleID	Sample	Experiment	Plant	Fungus	Soil	SampleType	Treatment	TimePoint	DAI	Rep	Concentration_ng.ul
186_4.3RH	4.3RH	2	4.3	Gv	Lansing	RH	HN	3	35	4	0.099
187_5.3CH	5.3CH	2	5.3	Gv	Lansing	CH	HN	3	35	5	0.092
188_5.3RH	5.3RH	2	5.3	Gv	Lansing	RH	HN	3	35	5	0.132
189_6.3CH	6.3CH	2	6.3	Gv	Lansing	CH	HN	3	35	6	0.09
190_6.3RH	6.3RH	2	6.3	Gv	Lansing	RH	HN	3	35	6	0.126
191_Mock-2	Mock-2	2				MK					0.073
192_Blank	ExtractionBlank	2				EB					0.073
1_GVCLHN1-BH	GVCLHN1-BH	3	GVCLHN1	Gv	Pendelton	BH	HN		27	1	
2_GVCLHN1-BS	GVCLHN1-BS	3	GVCLHN1	Gv	Pendelton	BS	HN		27	1	
3_GVCLHN2-BH	GVCLHN2-BH	3	GVCLHN2	Gv	Pendelton	BH	HN		27	2	
4_GVCLHN2-BS	GVCLHN2-BS	3	GVCLHN2	Gv	Pendelton	BS	HN		27	2	
5_GVFLHN1-BH	GVFLHN1-BH	3	GVFLHN1	Gv	Florence	BH	HN		27	1	
6_GVFLHN1-BS	GVFLHN1-BS	3	GVFLHN1	Gv	Florence	BS	HN		27	1	
7_GVFLHN2-BH	GVFLHN2-BH	3	GVFLHN2	Gv	Florence	BH	HN		27	2	
8_GVFLHN2-BS	GVFLHN2-BS	3	GVFLHN2	Gv	Florence	BS	HN		27	2	
9_GVFLHP1-BH	GVFLHP1-BH	3	GVFLHP1	Gv	Florence	BH	HP		27	1	
10_GVFLHP1-BS	GVFLHP1-BS	3	GVFLHP1	Gv	Florence	BS	HP		27	1	
11_GVFLHP2-BH	GVFLHP2-BH	3	GVFLHP2	Gv	Florence	BH	HP		27	2	
12_GVFLHP2-BS	GVFLHP2-BS	3	GVFLHP2	Gv	Florence	BS	HP		27	2	
13_GVN7HN1-BH	GVN7HN1-BH	3	GVN7HN1	Gv	Lansing	BH	HN		27	1	
14_GVN7HN1-BS	GVN7HN1-BS	3	GVN7HN1	Gv	Lansing	BS	HN		27	1	
15_GVN7HN2-BH	GVN7HN2-BH	3	GVN7HN2	Gv	Lansing	BH	HN		27	2	
16_GVN7HN2-BS	GVN7HN2-BS	3	GVN7HN2	Gv	Lansing	BS	HN		27	2	
17_GVN7HP1-BH	GVN7HP1-BH	3	GVN7HP1	Gv	Lansing	BH	HP		27	1	
