ASV	Taxonomy
BE34	
BE35	
ASV686	Actinobacteria Actinobacteria Kineosporiaceae
ASV687	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV685	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV68	Actinobacteria Actinobacteria Streptomycetaceae
ASV3981	Bacteroidetes Bacteroidia Microscillaceae
ASV61	Actinobacteria Actinobacteria Mycobacteriaceae
ASV997	Actinobacteria Actinobacteria Thermomonosporaceae
BE220	
ASV64	Proteobacteria Deltaproteobacteria BIrii41
ASV990	Verrucomicrobia Verrucomicrobiae Pedosphaeraceae
ASV66	Fibrobacteres Fibrobacteria Fibrobacteraceae
BE187	
ASV299	Nitrospirae Nitrospira Nitrospiraceae
ASV420	Firmicutes Bacilli Planococcaceae
ASV421	Proteobacteria Gammaproteobacteria Xanthomonadaceae
BE181	
ASV296	Firmicutes Bacilli Staphylococcaceae
ASV291	Verrucomicrobia Verrucomicrobiae Chthoniobacteraceae
ASV293	Proteobacteria Deltaproteobacteria 0319-6G20
BE180	
ASV196	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV1331	Proteobacteria Alphaproteobacteria Caulobacteraceae
ASV195	Proteobacteria Deltaproteobacteria bacteriap25
ASV1334	Proteobacteria Gammaproteobacteria Xanthomonadaceae
ASV1335	Chloroflexi Anaerolineae Anaerolineaceae
ASV190	Proteobacteria Gammaproteobacteria Steroidobacteraceae
ASV1337	Acidobacteria Blastocatellia_(Subgroup_4) Blastocatellaceae
ASV2865	Proteobacteria Gammaproteobacteria Burkholderiaceae
BE182	
ASV2908	Fibrobacteres Fibrobacteria Fibrobacteraceae
ASV199	Proteobacteria Alphaproteobacteria Reyranellaceae
ASV3023	Bacteroidetes Bacteroidia env.OPS_17
ASV3021	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV6133	Chloroflexi Chloroflexia Herpetosiphonaceae
ASV1931	Bacteroidetes Bacteroidia Chitinophagaceae
BE203	
ASV2733	Proteobacteria Gammaproteobacteria Halomonadaceae
ASV2767	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV648	Gemmatimonadetes Gemmatimonadetes Gemmatimonadaceae
ASV2888	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV3162	Proteobacteria Deltaproteobacteria Polyangiaceae
ASV1106	Proteobacteria Gammaproteobacteria Pseudomonadaceae
BE71	
ASV220	Gemmatimonadetes Gemmatimonadetes Gemmatimonadaceae
ASV1414	Bacteroidetes Bacteroidia Flavobacteriaceae
ASV222	Proteobacteria Deltaproteobacteria Sandaracinaceae
ASV224	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV1413	Acidobacteria Blastocatellia_(Subgroup_4) Pyrinomonadaceae
ASV3140	Proteobacteria Gammaproteobacteria Acidiferrobacteraceae
ASV228	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV229	Proteobacteria Deltaproteobacteria bacteriap25
ASV1384	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV1382	Proteobacteria Deltaproteobacteria BIrii41
ASV1792	Bacteroidetes Bacteroidia AKYH767
ASV733	Acidobacteria Thermoanaerobaculia Thermoanaerobaculaceae
ASV880	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV737	Proteobacteria Gammaproteobacteria Rhodanobacteraceae
ASV631	Acidobacteria Acidobacteriia Solibacteraceae_(Subgroup_3)
ASV888	Bacteroidetes Bacteroidia Cytophagaceae
ASV1857	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV5390	Bacteroidetes Bacteroidia Microscillaceae
ASV673	Acidobacteria Blastocatellia_(Subgroup_4) Pyrinomonadaceae
BE168	
BE167	
BE166	
BE164	
BE163	
ASV4861	Actinobacteria Actinobacteria Microbacteriaceae
ASV831	Proteobacteria Gammaproteobacteria Steroidobacteraceae
ASV2644	Proteobacteria Gammaproteobacteria Acidiferrobacteraceae
ASV79	Verrucomicrobia Verrucomicrobiae Chthoniobacteraceae
ASV835	Acidobacteria Blastocatellia_(Subgroup_4) Blastocatellaceae
ASV1240	Proteobacteria Gammaproteobacteria Unknown_Family
ASV838	Gemmatimonadetes Gemmatimonadetes Gemmatimonadaceae
ASV1243	Actinobacteria Thermoleophilia 67-14
BE184	
ASV125	Nitrospirae Nitrospira Nitrospiraceae
BE186	
ASV123	Proteobacteria Alphaproteobacteria Sphingomonadaceae
ASV122	Proteobacteria Gammaproteobacteria Xanthomonadaceae
BE183	
BE79	
BE76	
BE74	
BE75	
BE72	
ASV129	Firmicutes Bacilli Bacillaceae
ASV128	Proteobacteria Alphaproteobacteria Dongiaceae
ASV72	Verrucomicrobia Verrucomicrobiae Chthoniobacteraceae
ASV1808	Proteobacteria Deltaproteobacteria KD3-10
ASV646	Planctomycetes Planctomycetacia Gemmataceae
ASV647	Verrucomicrobia Verrucomicrobiae Chthoniobacteraceae
ASV644	Proteobacteria Gammaproteobacteria Burkholderiaceae
ASV2019	Acidobacteria Blastocatellia_(Subgroup_4) Blastocatellaceae
BE260	
BE261	
BE264	
BE265	
BE268	
BE255	
BE254	
BE257	
ASV1427	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV3409	Bacteroidetes Bacteroidia env.OPS_17
ASV547	Bacteroidetes Bacteroidia Chitinophagaceae
ASV469	Planctomycetes Planctomycetacia Pirellulaceae
ASV541	Proteobacteria Deltaproteobacteria Haliangiaceae
BE236	
ASV391	Proteobacteria Deltaproteobacteria bacteriap25
ASV461	Gemmatimonadetes Gemmatimonadetes Gemmatimonadaceae
ASV548	Proteobacteria Gammaproteobacteria Nitrosomonadaceae
ASV4447	Proteobacteria Deltaproteobacteria Haliangiaceae
ASV5572	Proteobacteria Gammaproteobacteria Xanthomonadaceae
ASV99	Proteobacteria Gammaproteobacteria Burkholderiaceae
BE215	
ASV37	Proteobacteria Alphaproteobacteria Caulobacteraceae
ASV35	Proteobacteria Gammaproteobacteria Burkholderiaceae
